Data,Dia da Semana,Mês,Nome da Fruta,Categoria,Quantidade Vendida (kg),Preço por Kg (R$),Receita (R$),Vendedor,Feira,Forma de Pagamento,Promoção?,Clima,Observações
2024-01-12,Friday,January,Melancia,Tropical,26.5,2.5,66.25,Ana Tropical,Feira da Estação,Cartão Crédito,Sim,Chuvoso,Concorrência alta
2024-01-12,Friday,January,Manga,Tropical,8.7,4.2,36.54,Maria Frutas,Feira Central,Cartão Débito,Sim,Chuvoso,Boa procura
2024-01-12,Friday,January,Manga,Tropical,45.2,4.2,189.84,Carlos Natureza,Feira Central,Cartão Crédito,Não,Nublado,Produto fresco
2024-01-13,Saturday,January,Manga,Tropical,28.1,4.2,118.02,Carlos Natureza,Feira da Estação,Pix,Não,Ensolarado,Vendas médias
2024-01-13,Saturday,January,Maçã,Temperada,48.3,5.0,241.5,Ana Tropical,Feira Central,Cartão Débito,Sim,Ensolarado,Vendas médias
2024-01-13,Saturday,January,Pera,Temperada,20.9,5.2,108.68,João da Fruta,Feira Central,Cartão Crédito,Não,Ensolarado,Pouco movimento
2024-01-13,Saturday,January,Uva,Temperada,26.2,7.0,183.4,João da Fruta,Feira Bairro Novo,Cartão Crédito,Sim,Nublado,Produto fresco
2024-01-13,Saturday,January,Laranja,Cítrica,26.9,3.8,102.22,Maria Frutas,Feira do Parque,Dinheiro,Sim,Nublado,Boa procura
2024-01-13,Saturday,January,Mamão,Tropical,41.1,3.0,123.3,Ana Tropical,Feira Bairro Novo,Cartão Débito,Não,Ensolarado,Vendas médias
2024-01-14,Sunday,January,Banana,Tropical,18.3,3.5,64.05,Maria Frutas,Feira da Estação,Pix,Sim,Nublado,Concorrência alta
2024-01-14,Sunday,January,Laranja,Cítrica,42.4,3.8,161.12,João da Fruta,Feira Central,Dinheiro,Não,Ensolarado,Boa procura
2024-01-14,Sunday,January,Maçã,Temperada,38.2,5.0,191.0,João da Fruta,Feira Central,Dinheiro,Sim,Chuvoso,Pouco movimento
2024-01-15,Monday,January,Uva,Temperada,15.4,7.0,107.8,Carlos Natureza,Feira do Parque,Cartão Crédito,Não,Ensolarado,Pouco movimento
2024-01-15,Monday,January,Abacaxi,Tropical,28.8,4.8,138.24,Maria Frutas,Feira da Estação,Cartão Débito,Não,Ensolarado,Vendas médias
2024-01-15,Monday,January,Manga,Tropical,26.1,4.2,109.62,Carlos Natureza,Feira Central,Dinheiro,Sim,Chuvoso,Concorrência alta
2024-01-16,Tuesday,January,Coco,Tropical,48.8,3.7,180.56,Ana Tropical,Feira do Parque,Cartão Débito,Sim,Chuvoso,Vendas médias
2024-01-16,Tuesday,January,Laranja,Cítrica,25.1,3.8,95.38,João da Fruta,Feira do Parque,Dinheiro,Não,Chuvoso,Pouco movimento
2024-01-16,Tuesday,January,Limão,Cítrica,26.2,2.2,57.64,Ana Tropical,Feira do Parque,Pix,Não,Chuvoso,Concorrência alta
2024-01-16,Tuesday,January,Abacaxi,Tropical,42.7,4.8,204.96,João da Fruta,Feira do Parque,Cartão Crédito,Não,Nublado,Concorrência alta
2024-01-16,Tuesday,January,Mamão,Tropical,49.8,3.0,149.4,João da Fruta,Feira da Estação,Pix,Não,Nublado,Produto fresco
2024-01-16,Tuesday,January,Uva,Temperada,7.8,7.0,54.6,Maria Frutas,Feira Bairro Novo,Pix,Não,Nublado,Boa procura
2024-01-17,Wednesday,January,Uva,Temperada,11.2,7.0,78.4,Carlos Natureza,Feira da Estação,Dinheiro,Não,Nublado,Vendas médias
2024-01-17,Wednesday,January,Kiwi,Temperada,9.9,6.5,64.35,Ana Tropical,Feira da Estação,Dinheiro,Não,Ensolarado,Vendas médias
2024-01-17,Wednesday,January,Manga,Tropical,13.1,4.2,55.02,Ana Tropical,Feira Bairro Novo,Pix,Não,Chuvoso,Produto fresco
2024-01-17,Wednesday,January,Banana,Tropical,27.1,3.5,94.85,Ana Tropical,Feira Central,Cartão Crédito,Sim,Chuvoso,Vendas médias
2024-01-17,Wednesday,January,Laranja,Cítrica,49.4,3.8,187.72,Carlos Natureza,Feira Central,Dinheiro,Sim,Ensolarado,Pouco movimento
2024-01-18,Thursday,January,Kiwi,Temperada,13.0,6.5,84.5,Maria Frutas,Feira Central,Pix,Sim,Ensolarado,Pouco movimento
2024-01-18,Thursday,January,Maçã,Temperada,6.1,5.0,30.5,Maria Frutas,Feira da Estação,Cartão Débito,Sim,Chuvoso,Produto fresco
2024-01-18,Thursday,January,Maçã,Temperada,14.3,5.0,71.5,Maria Frutas,Feira da Estação,Pix,Sim,Chuvoso,Produto fresco
2024-01-18,Thursday,January,Pera,Temperada,19.5,5.2,101.4,João da Fruta,Feira Bairro Novo,Cartão Débito,Não,Chuvoso,Concorrência alta
2024-01-18,Thursday,January,Kiwi,Temperada,47.7,6.5,310.05,Ana Tropical,Feira do Parque,Pix,Sim,Nublado,Pouco movimento
2024-01-19,Friday,January,Laranja,Cítrica,27.6,3.8,104.88,Maria Frutas,Feira Central,Cartão Débito,Sim,Nublado,Produto fresco
2024-01-19,Friday,January,Pera,Temperada,43.1,5.2,224.12,Maria Frutas,Feira Central,Pix,Não,Ensolarado,Boa procura
2024-01-19,Friday,January,Laranja,Cítrica,20.9,3.8,79.42,Carlos Natureza,Feira Central,Dinheiro,Sim,Chuvoso,Vendas médias
2024-01-19,Friday,January,Kiwi,Temperada,33.9,6.5,220.35,Maria Frutas,Feira do Parque,Cartão Débito,Sim,Chuvoso,Boa procura
2024-01-19,Friday,January,Maçã,Temperada,27.3,5.0,136.5,João da Fruta,Feira do Parque,Cartão Débito,Não,Ensolarado,Produto fresco
2024-01-20,Saturday,January,Pera,Temperada,37.5,5.2,195.0,Ana Tropical,Feira do Parque,Dinheiro,Sim,Nublado,Concorrência alta
2024-01-20,Saturday,January,Laranja,Cítrica,37.1,3.8,140.98,Ana Tropical,Feira da Estação,Pix,Sim,Chuvoso,Produto fresco
2024-01-20,Saturday,January,Manga,Tropical,31.6,4.2,132.72,João da Fruta,Feira da Estação,Cartão Débito,Não,Chuvoso,Concorrência alta
2024-01-21,Sunday,January,Laranja,Cítrica,30.2,3.8,114.76,Ana Tropical,Feira Bairro Novo,Dinheiro,Não,Nublado,Concorrência alta
2024-01-21,Sunday,January,Kiwi,Temperada,30.1,6.5,195.65,João da Fruta,Feira do Parque,Dinheiro,Sim,Chuvoso,Boa procura
2024-01-21,Sunday,January,Kiwi,Temperada,38.7,6.5,251.55,Maria Frutas,Feira Central,Pix,Não,Chuvoso,Vendas médias
2024-01-21,Sunday,January,Maçã,Temperada,36.4,5.0,182.0,Ana Tropical,Feira da Estação,Cartão Crédito,Não,Chuvoso,Boa procura
2024-01-22,Monday,January,Mamão,Tropical,11.7,3.0,35.1,João da Fruta,Feira Bairro Novo,Pix,Sim,Ensolarado,Produto fresco
2024-01-22,Monday,January,Limão,Cítrica,27.6,2.2,60.72,Carlos Natureza,Feira Central,Cartão Débito,Sim,Nublado,Boa procura
2024-01-22,Monday,January,Banana,Tropical,15.3,3.5,53.55,Carlos Natureza,Feira Bairro Novo,Cartão Crédito,Sim,Ensolarado,Pouco movimento
2024-01-22,Monday,January,Pera,Temperada,25.1,5.2,130.52,João da Fruta,Feira do Parque,Pix,Sim,Chuvoso,Concorrência alta
2024-01-22,Monday,January,Abacaxi,Tropical,38.2,4.8,183.36,Carlos Natureza,Feira do Parque,Pix,Não,Chuvoso,Boa procura
2024-01-23,Tuesday,January,Uva,Temperada,16.5,7.0,115.5,Maria Frutas,Feira do Parque,Pix,Sim,Nublado,Vendas médias
2024-01-23,Tuesday,January,Kiwi,Temperada,5.9,6.5,38.35,Maria Frutas,Feira da Estação,Cartão Débito,Não,Ensolarado,Boa procura
2024-01-23,Tuesday,January,Kiwi,Temperada,46.5,6.5,302.25,Carlos Natureza,Feira Bairro Novo,Pix,Não,Ensolarado,Produto fresco
2024-01-23,Tuesday,January,Manga,Tropical,44.5,4.2,186.9,João da Fruta,Feira Central,Cartão Débito,Não,Nublado,Pouco movimento
2024-01-23,Tuesday,January,Kiwi,Temperada,32.6,6.5,211.9,João da Fruta,Feira da Estação,Pix,Sim,Chuvoso,Boa procura
2024-01-23,Tuesday,January,Melancia,Tropical,38.7,2.5,96.75,Ana Tropical,Feira do Parque,Cartão Crédito,Sim,Nublado,Pouco movimento
2024-01-24,Wednesday,January,Limão,Cítrica,30.3,2.2,66.66,Carlos Natureza,Feira do Parque,Cartão Débito,Sim,Chuvoso,Produto fresco
2024-01-24,Wednesday,January,Laranja,Cítrica,6.4,3.8,24.32,Maria Frutas,Feira da Estação,Cartão Débito,Não,Chuvoso,Boa procura
2024-01-24,Wednesday,January,Kiwi,Temperada,10.1,6.5,65.65,João da Fruta,Feira Central,Dinheiro,Sim,Nublado,Pouco movimento
2024-01-24,Wednesday,January,Manga,Tropical,11.5,4.2,48.3,Maria Frutas,Feira da Estação,Pix,Sim,Nublado,Vendas médias
2024-01-24,Wednesday,January,Abacaxi,Tropical,48.6,4.8,233.28,Carlos Natureza,Feira do Parque,Cartão Débito,Não,Nublado,Pouco movimento
2024-01-25,Thursday,January,Melancia,Tropical,13.2,2.5,33.0,Carlos Natureza,Feira Central,Dinheiro,Não,Nublado,Pouco movimento
2024-01-25,Thursday,January,Uva,Temperada,47.2,7.0,330.4,Maria Frutas,Feira do Parque,Pix,Sim,Ensolarado,Vendas médias
2024-01-25,Thursday,January,Kiwi,Temperada,47.1,6.5,306.15,Carlos Natureza,Feira Central,Cartão Débito,Não,Ensolarado,Boa procura
2024-01-26,Friday,January,Maçã,Temperada,34.4,5.0,172.0,Carlos Natureza,Feira da Estação,Pix,Não,Ensolarado,Vendas médias
2024-01-26,Friday,January,Limão,Cítrica,38.7,2.2,85.14,Ana Tropical,Feira da Estação,Cartão Crédito,Sim,Chuvoso,Vendas médias
2024-01-26,Friday,January,Limão,Cítrica,24.5,2.2,53.9,João da Fruta,Feira Bairro Novo,Cartão Débito,Sim,Nublado,Boa procura
2024-01-27,Saturday,January,Pera,Temperada,30.9,5.2,160.68,Carlos Natureza,Feira da Estação,Cartão Crédito,Não,Ensolarado,Vendas médias
2024-01-27,Saturday,January,Coco,Tropical,24.8,3.7,91.76,Ana Tropical,Feira Central,Cartão Débito,Não,Chuvoso,Produto fresco
2024-01-27,Saturday,January,Maçã,Temperada,28.7,5.0,143.5,Carlos Natureza,Feira do Parque,Cartão Crédito,Não,Chuvoso,Produto fresco
2024-01-27,Saturday,January,Uva,Temperada,39.2,7.0,274.4,Ana Tropical,Feira da Estação,Dinheiro,Não,Nublado,Produto fresco
2024-01-27,Saturday,January,Maçã,Temperada,41.8,5.0,209.0,João da Fruta,Feira da Estação,Cartão Débito,Não,Nublado,Pouco movimento
2024-01-28,Sunday,January,Coco,Tropical,25.4,3.7,93.98,Maria Frutas,Feira do Parque,Cartão Débito,Não,Chuvoso,Produto fresco
2024-01-28,Sunday,January,Banana,Tropical,30.6,3.5,107.1,Carlos Natureza,Feira do Parque,Dinheiro,Sim,Ensolarado,Boa procura
2024-01-28,Sunday,January,Kiwi,Temperada,48.0,6.5,312.0,João da Fruta,Feira Central,Dinheiro,Sim,Nublado,Vendas médias
2024-01-28,Sunday,January,Mamão,Tropical,49.2,3.0,147.6,Carlos Natureza,Feira do Parque,Pix,Sim,Ensolarado,Produto fresco
2024-01-29,Monday,January,Limão,Cítrica,12.6,2.2,27.72,João da Fruta,Feira do Parque,Pix,Não,Chuvoso,Concorrência alta
2024-01-29,Monday,January,Coco,Tropical,15.0,3.7,55.5,Ana Tropical,Feira da Estação,Dinheiro,Não,Ensolarado,Pouco movimento
2024-01-29,Monday,January,Uva,Temperada,48.7,7.0,340.9,João da Fruta,Feira Bairro Novo,Cartão Débito,Sim,Nublado,Boa procura
2024-01-29,Monday,January,Limão,Cítrica,13.9,2.2,30.58,Maria Frutas,Feira Bairro Novo,Cartão Débito,Sim,Ensolarado,Boa procura
2024-01-30,Tuesday,January,Abacaxi,Tropical,15.0,4.8,72.0,Carlos Natureza,Feira Bairro Novo,Pix,Não,Chuvoso,Vendas médias
2024-01-30,Tuesday,January,Manga,Tropical,6.7,4.2,28.14,João da Fruta,Feira Central,Pix,Sim,Chuvoso,Boa procura
2024-01-30,Tuesday,January,Manga,Tropical,27.3,4.2,114.66,Maria Frutas,Feira Central,Cartão Débito,Não,Nublado,Vendas médias
2024-01-30,Tuesday,January,Uva,Temperada,33.1,7.0,231.7,Ana Tropical,Feira Central,Cartão Débito,Sim,Ensolarado,Produto fresco
2024-01-30,Tuesday,January,Maçã,Temperada,26.8,5.0,134.0,Carlos Natureza,Feira da Estação,Cartão Débito,Sim,Ensolarado,Concorrência alta
2024-01-31,Wednesday,January,Kiwi,Temperada,28.3,6.5,183.95,Maria Frutas,Feira Bairro Novo,Pix,Não,Chuvoso,Boa procura
2024-01-31,Wednesday,January,Manga,Tropical,6.3,4.2,26.46,Maria Frutas,Feira do Parque,Dinheiro,Sim,Ensolarado,Pouco movimento
2024-01-31,Wednesday,January,Kiwi,Temperada,46.0,6.5,299.0,Ana Tropical,Feira Bairro Novo,Cartão Crédito,Sim,Ensolarado,Vendas médias
2024-01-31,Wednesday,January,Abacaxi,Tropical,17.7,4.8,84.96,Maria Frutas,Feira Central,Dinheiro,Não,Ensolarado,Boa procura
2024-02-01,Thursday,February,Uva,Temperada,30.1,7.0,210.7,Ana Tropical,Feira da Estação,Pix,Não,Chuvoso,Produto fresco
2024-02-01,Thursday,February,Banana,Tropical,47.3,3.5,165.55,Carlos Natureza,Feira do Parque,Dinheiro,Sim,Ensolarado,Pouco movimento
2024-02-01,Thursday,February,Mamão,Tropical,26.3,3.0,78.9,João da Fruta,Feira da Estação,Cartão Crédito,Sim,Nublado,Boa procura
2024-02-01,Thursday,February,Limão,Cítrica,22.0,2.2,48.4,João da Fruta,Feira da Estação,Dinheiro,Sim,Nublado,Concorrência alta
2024-02-02,Friday,February,Abacaxi,Tropical,38.4,4.8,184.32,Carlos Natureza,Feira do Parque,Dinheiro,Sim,Ensolarado,Concorrência alta
2024-02-02,Friday,February,Kiwi,Temperada,35.6,6.5,231.4,Ana Tropical,Feira do Parque,Dinheiro,Não,Chuvoso,Concorrência alta
2024-02-02,Friday,February,Coco,Tropical,37.2,3.7,137.64,Maria Frutas,Feira Bairro Novo,Pix,Não,Nublado,Vendas médias
2024-02-02,Friday,February,Pera,Temperada,39.7,5.2,206.44,Carlos Natureza,Feira Central,Pix,Sim,Ensolarado,Concorrência alta
2024-02-02,Friday,February,Banana,Tropical,45.2,3.5,158.2,João da Fruta,Feira do Parque,Cartão Crédito,Sim,Nublado,Pouco movimento
2024-02-02,Friday,February,Coco,Tropical,24.2,3.7,89.54,João da Fruta,Feira do Parque,Cartão Crédito,Sim,Nublado,Boa procura
2024-02-03,Saturday,February,Coco,Tropical,13.4,3.7,49.58,João da Fruta,Feira Central,Dinheiro,Não,Ensolarado,Produto fresco
2024-02-03,Saturday,February,Limão,Cítrica,48.3,2.2,106.26,Ana Tropical,Feira da Estação,Cartão Débito,Sim,Ensolarado,Concorrência alta
2024-02-03,Saturday,February,Banana,Tropical,22.7,3.5,79.45,Maria Frutas,Feira Central,Cartão Débito,Não,Chuvoso,Vendas médias
2024-02-03,Saturday,February,Melancia,Tropical,26.8,2.5,67.0,Ana Tropical,Feira Bairro Novo,Dinheiro,Não,Chuvoso,Pouco movimento
2024-02-03,Saturday,February,Abacaxi,Tropical,48.2,4.8,231.36,Ana Tropical,Feira do Parque,Cartão Débito,Não,Ensolarado,Produto fresco
2024-02-04,Sunday,February,Melancia,Tropical,7.8,2.5,19.5,Ana Tropical,Feira do Parque,Pix,Sim,Ensolarado,Concorrência alta
2024-02-04,Sunday,February,Pera,Temperada,20.6,5.2,107.12,Maria Frutas,Feira da Estação,Cartão Débito,Sim,Nublado,Concorrência alta
2024-02-04,Sunday,February,Coco,Tropical,40.9,3.7,151.33,João da Fruta,Feira da Estação,Dinheiro,Não,Nublado,Pouco movimento
2024-02-04,Sunday,February,Uva,Temperada,12.1,7.0,84.7,Carlos Natureza,Feira Bairro Novo,Cartão Crédito,Não,Nublado,Vendas médias
2024-02-04,Sunday,February,Mamão,Tropical,25.8,3.0,77.4,João da Fruta,Feira do Parque,Cartão Débito,Não,Nublado,Concorrência alta
2024-02-05,Monday,February,Pera,Temperada,17.9,5.2,93.08,Ana Tropical,Feira do Parque,Dinheiro,Não,Ensolarado,Produto fresco
2024-02-05,Monday,February,Uva,Temperada,15.5,7.0,108.5,Maria Frutas,Feira da Estação,Cartão Crédito,Não,Chuvoso,Concorrência alta
2024-02-05,Monday,February,Maçã,Temperada,27.0,5.0,135.0,Ana Tropical,Feira da Estação,Cartão Crédito,Não,Ensolarado,Produto fresco
2024-02-05,Monday,February,Laranja,Cítrica,35.4,3.8,134.52,Maria Frutas,Feira da Estação,Cartão Débito,Sim,Nublado,Concorrência alta
2024-02-06,Tuesday,February,Mamão,Tropical,29.3,3.0,87.9,Ana Tropical,Feira da Estação,Dinheiro,Não,Chuvoso,Boa procura
2024-02-06,Tuesday,February,Laranja,Cítrica,12.0,3.8,45.6,João da Fruta,Feira do Parque,Pix,Sim,Ensolarado,Vendas médias
2024-02-06,Tuesday,February,Abacaxi,Tropical,15.5,4.8,74.4,Maria Frutas,Feira Central,Cartão Débito,Sim,Nublado,Vendas médias
2024-02-06,Tuesday,February,Limão,Cítrica,23.9,2.2,52.58,Ana Tropical,Feira Central,Cartão Débito,Sim,Nublado,Produto fresco
2024-02-06,Tuesday,February,Banana,Tropical,39.9,3.5,139.65,Carlos Natureza,Feira Central,Dinheiro,Não,Nublado,Pouco movimento
2024-02-07,Wednesday,February,Abacaxi,Tropical,7.3,4.8,35.04,Maria Frutas,Feira Bairro Novo,Cartão Débito,Sim,Ensolarado,Vendas médias
2024-02-07,Wednesday,February,Kiwi,Temperada,42.0,6.5,273.0,Maria Frutas,Feira da Estação,Cartão Crédito,Sim,Ensolarado,Produto fresco
2024-02-07,Wednesday,February,Pera,Temperada,11.2,5.2,58.24,Carlos Natureza,Feira Central,Dinheiro,Sim,Nublado,Vendas médias
2024-02-07,Wednesday,February,Abacaxi,Tropical,18.5,4.8,88.8,Carlos Natureza,Feira Bairro Novo,Cartão Crédito,Sim,Nublado,Boa procura
2024-02-07,Wednesday,February,Abacaxi,Tropical,31.7,4.8,152.16,Maria Frutas,Feira da Estação,Cartão Crédito,Não,Ensolarado,Vendas médias
2024-02-08,Thursday,February,Manga,Tropical,42.3,4.2,177.66,João da Fruta,Feira Bairro Novo,Cartão Crédito,Sim,Nublado,Pouco movimento
2024-02-08,Thursday,February,Laranja,Cítrica,32.1,3.8,121.98,Ana Tropical,Feira Bairro Novo,Pix,Sim,Chuvoso,Concorrência alta
2024-02-08,Thursday,February,Limão,Cítrica,19.2,2.2,42.24,João da Fruta,Feira Bairro Novo,Pix,Sim,Chuvoso,Vendas médias
2024-02-08,Thursday,February,Mamão,Tropical,22.6,3.0,67.8,João da Fruta,Feira Bairro Novo,Dinheiro,Sim,Nublado,Produto fresco
2024-02-08,Thursday,February,Coco,Tropical,17.5,3.7,64.75,Ana Tropical,Feira Bairro Novo,Cartão Crédito,Não,Chuvoso,Vendas médias
2024-02-08,Thursday,February,Abacaxi,Tropical,33.7,4.8,161.76,Ana Tropical,Feira da Estação,Pix,Não,Chuvoso,Vendas médias
2024-02-09,Friday,February,Maçã,Temperada,45.3,5.0,226.5,João da Fruta,Feira da Estação,Dinheiro,Sim,Nublado,Vendas médias
2024-02-09,Friday,February,Abacaxi,Tropical,39.9,4.8,191.52,João da Fruta,Feira Central,Dinheiro,Não,Nublado,Pouco movimento
2024-02-09,Friday,February,Banana,Tropical,36.0,3.5,126.0,João da Fruta,Feira do Parque,Dinheiro,Não,Nublado,Concorrência alta
2024-02-09,Friday,February,Kiwi,Temperada,24.2,6.5,157.3,João da Fruta,Feira da Estação,Cartão Crédito,Não,Ensolarado,Concorrência alta
2024-02-09,Friday,February,Kiwi,Temperada,9.9,6.5,64.35,Carlos Natureza,Feira Central,Cartão Débito,Sim,Nublado,Concorrência alta
2024-02-09,Friday,February,Maçã,Temperada,23.7,5.0,118.5,Maria Frutas,Feira Bairro Novo,Pix,Não,Nublado,Vendas médias
